Data Dictionary,,
Variable,Definition,Key
survival,Survival,"0 = No, 1 = Yes"
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd"
sex,Sex,
Age,Age in years,
sibsp,Number of siblings / spouses aboard the Titanic,
parch,Number of parents / children aboard the Titanic,
ticket,Ticket number,
fare,Passenger fare,
cabin,Cabin number,
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton"
,,
Variable Notes,1st = Upper          2nd = Middle       3rd = Lower,
pclass: A proxy for socio-economic status (SES),,
"age: Age is fractional if less than 1. If the age is estimated, is it in the form of xx.5","Sibling = brother, sister, stepbrother, stepsister",
sibsp: The dataset defines family relations in this way...,,
"Spouse = husband, wife (mistresses and fiancés were ignored)",,
parch: The dataset defines family relations in this way...,"Parent = mother, father","Child = daughter, son, stepdaughter, stepson"
"Some children travelled only with a nanny, therefore parch=0 for them.",,
